[' add ', 'pre w', 'image', 'n tab', ' why '],
['gap  ', ' gas ', 'topic', 'e era', 'nor r'],
['  sew', 'paw  ', 'ocean', 'stage', 't row'],
[' apt ', 'brain', 'agree', 'cut w', 'key  '],
['s ant', 'ill r', 'noisy', ' ski ', ' term'],
[' mere', 'can a', 'alter', 'peer ', '  rat'],
['b bag', 'aside', 'debut', ' all ', ' let '],
['p spy', 'act  ', 'those', ' even', ' weed'],
['ear  ', 'age n', 'trade', ' edit', ' eye '],
['air f', 'drama', 'dozen', ' nor ', '  red'],
['ink p', ' onto', 'green', 'a end', 'salt '],
['  pop', 'plane', 'laser', 'apt  ', 'n air'],
[' area', 'era w', 'arise', 'rose ', ' wet '],
['tan y', ' gate', 'devil', 'i all', 'pull '],
['c egg', 'all u', 'today', ' sew ', ' tree'],
[' cat ', 'm war', 'awake', 'tired', 'end  '],
[' slim', 'die  ', 'organ', 'g ago', '  let'],
['away ', ' owe ', 'smash', 'ear e', 'and r'],
['p dot', 'use e', 'seven', 'hair ', '  lad'],
['  bus', 'oil o', 'floor', 'flour', '  dry'],
['  due', 'tie  ', 'allow', 'plane', '  yet'],
['job  ', 'award', 'media', '  god', ' get '],
['less ', ' apt ', 'stool', 'u one', 'n net'],
[' gap ', 'b rib', 'unite', 'yes l', ' tent'],
[' suit', 'pin r', 'exile', 'r tie', ' bye '],
['  lot', ' pair', 'bible', 'age n', 'y lad'],
['c ski', 'awe l', 'naval', ' leg ', ' knee'],
[' trip', ' rice', 'laser', 'ask  ', 'why  '],
['bar  ', ' cup ', 'arrow', 'lease', 'l let'],
['  may', ' pole', 'fault', 'its  ', 'them '],
['bet  ', 'ear  ', 'stamp', 't due', '  egg'],
[' due ', 'cap  ', 'asset', 'there', '  tan'],
['  see', '  pay', 'scare', 'our  ', 'bee  '],
[' same', 'bar a', 'eight', 'glue ', '  era'],
[' slap', 'peel ', 'await', 't ski', '  ten'],
['  son', 'o two', 'front', 'five ', ' per '],
['  cap', 'born ', 'unity', 'yes e', '  pet'],
['rap t', 'ill r', 'diary', ' via ', 'cent '],
['  raw', 'r ago', 'owner', 'bag d', ' yes '],
['  say', 'r tie', 'apart', 'car  ', 'eye  '],
[' tan ', 'a lot', 'photo', 'ten e', ' yes '],
['art n', 'purse', 'treat', ' any ', 'old  '],
['frame', '  pay', 'blade', 'air  ', 'yet  '],
['jar  ', 'award', 'media', '  icy', ' toe '],
[' two ', 'soap ', 'hotel', 'y era', '  raw'],
['raw  ', 'alive', 'today', ' none', 'sew  '],
['  ant', 'anger', 'party', 'tie  ', ' leg '],
[' try ', 'wheel', 'erase', 'bed t', ' eye '],
['bus f', 'e all', 'delay', ' ray ', 'bad  '],
['rap  ', 'era t', 'disco', ' stay', ' ear '],
['  pub', ' lane', 'since', 'peel ', 'y let'],
['tan h', ' sore', 'river', 'idea ', 'bell '],
['hot  ', 'ice p', 'lease', 'laser', ' net '],
['ink  ', 'tend ', 'swear', '  era', '  let'],
['  awe', '  day', 'spare', 'hip  ', 'enter'],
['c bat', 'harsh', 'awake', 'ten  ', '  due'],
['l she', 'act y', 'plane', ' age ', ' pet '],
[' rat ', 'today', 'awake', 'i pet', 'lot  '],
['  tax', 'low  ', 'arise', 'bacon', ' lend'],
['n lad', 'opera', 'river', ' leak', 'all  '],
['pet v', 'arise', 'water', '  lay', ' jet '],
['cold ', 'awe n', 'plate', '  set', 'then '],
[' cab ', 'ear r', 'drive', 'i sad', 'then '],
['l sea', 'a car', 'worst', ' net ', 'few  '],
[' clap', '  age', 'robot', 'awe  ', 'well '],
[' some', 'b lay', 'alike', 'dive ', ' per '],
[' pea ', 'far s', 'awake', 'n six', ' bed '],
[' pen ', ' area', 'prawn', 'its t', 'eye  '],
[' care', '  may', 'alone', 'gang ', 'edge '],
['  pad', ' race', 'paste', 'art p', 'tea  '],
['  toe', 'trip ', 'earth', 'awe i', '  dot'],
['gun  ', 'o off', 'devil', ' rely', 'sale '],
['  sex', 'age  ', 'noise', 'dozen', ' dead'],
['even ', 'a nod', 'ratio', ' pest', ' try '],
['  say', 'die  ', 'arise', 'dozen', ' need'],
['  pan', ' logo', 'lower', 'awe  ', 'y rib'],
['  awe', '  way', 'stage', 'hire ', 'end  '],
[' old ', ' neat', 'death', 'r sea', 'yet t'],
['l spy', 'into ', 'forty', 'era e', '  pit'],
['m tip', 'ear  ', 'speak', 'stage', '  toy'],
['bag h', ' side', 'river', 'idea ', 'bend '],
['beg  ', 'ear  ', 'steak', 't age', '  toy'],
['bet  ', 'ear n', 'stare', 't cat', ' hey '],
['  lid', 'meal ', 'adult', 'pig i', ' thin'],
['cash ', 'aim  ', 'trade', '  sin', ' shed'],
['  tea', '  rap', 'apart', 'gain ', 'owl  '],
['opt m', '  hey', 'treat', 'earth', 'awe  '],
['a pad', 'crew ', 'today', ' bake', '  let'],
['can a', 'age w', 'large', 'live ', ' net '],
[' dash', 'b fee', 'enter', 'toe  ', ' drug'],
[' may ', ' owe ', 'trash', 'ear a', 'alert'],
['  lap', 'deal ', 'adult', 'dig a', ' then'],
['  nod', ' rap ', 'cover', 'aware', 'p lad'],
['  sad', '  tie', 'score', 'ear p', 'arms '],
['w gas', 'raise', 'awake', 'pen  ', '  the'],
['  see', 'h lay', 'image', 'save ', ' per '],
['lip  ', 'all  ', 'blast', '  tie', '  era'],
['l jaw', 'amuse', 'waist', ' ice ', ' let '],
['gas s', 'arm e', 'tease', 'ease ', '  hat'],
['wet  ', 'ear m', 'state', 't can', '  end'],
['  sob', '  pay', 'awake', 'car  ', 'treat'],
['pass ', '  hip', 'store', 'ear a', 'apt k'],
['l spy', 'i pie', 'plant', ' art ', 'owe  '],
['raw  ', ' mail', 'juice', 'asset', 'wet  '],
['wet  ', ' yet ', 'beard', 'u sea', 'speed'],
['loss ', '  tin', 'state', 'air s', 'yet t'],
['  dip', 'white', 'horse', 'opt l', ' eye '],
[' way ', 'towel', 'erase', 'ask t', ' ten '],
[' mad ', 'panel', 'angle', 'n eat', ' dry '],
['  see', 'z may', 'erase', 'rare ', 'opt  '],
['d fry', 'i lie', 'grass', ' ask ', ' why '],
['rent ', ' you ', 'being', 'i sea', 'the s'],
[' paw ', 'win t', 'anger', 'r lay', ' per '],
['gap  ', 'y ear', 'mango', ' snow', 'sky  '],
['all b', 'pea o', 'tasty', ' sew ', 'zero '],
['  shy', 'opt  ', 'nerve', 'train', 'o pad'],
['bad o', 'owe p', 'sense', 's sin', ' jet '],
['right', 'acre ', 'weird', '  nor', 'mad y'],
['bar  ', 'age n', 'trade', ' edit', ' eye '],
['  gay', '  lie', 'sport', 'ear  ', 'any  '],
['  she', 'c tea', 'apart', 'nor  ', ' pea '],
['  sea', 'j tan', 'apart', 'mail ', ' dry '],
[' pea ', 'first', 'lease', 'y sea', ' jet '],
['pot  ', ' post', 'stake', 'u sin', 'not d'],
[' trap', ' rule', 'pilot', 'open ', 'p red'],
[' boy ', 'sun c', 'unite', 'r own', 'f not'],
['but  ', 'a old', 'ratio', ' gang', 'folk '],
['  tap', 'h ago', 'asset', 'net  ', 'gay  '],
[' hot ', '  pat', 'scene', 'ear s', 'apart'],
[' hug ', 'p now', 'aside', 'not a', ' beak'],
['board', 'euro ', 'grill', '  sea', 'die w'],
['rap w', ' lake', 'asset', 'note ', 'y apt'],
['but e', 'u ray', 'stare', ' aim ', 'only '],
['s not', 'opera', 'naval', ' cell', 'her  '],
['  apt', '  war', 'lease', 'arise', 'pat  '],
['c rap', 'a ago', 'rider', ' link', ' lot '],
[' owe ', ' nor ', 'strap', 'horse', 'y yet'],
[' cue ', 'lap  ', 'asset', 'where', '  tan'],
['yes p', '  tie', 'short', 'euro ', 'agent'],
['  bug', 'noon ', 'ounce', 'truly', '  see'],
[' fat ', ' ago ', 'steel', 'pen a', 'y tip'],
['mad r', 'alive', 'plain', '  rat', 'spy  '],
['bee  ', 'e add', 'tiger', ' clay', 'heel '],
['let  ', ' aid ', 'strap', 'e era', 'widen'],
['h sob', 'i try', 'shade', ' age ', ' mere'],
['pub  ', 'o lab', 'peace', ' amid', ' red '],
['and  ', 'curl ', 'trail', ' side', 'pen t'],
['dip s', 'o let', 'grave', ' item', ' pen '],
['roll ', ' pea ', 'stand', 'i sea', 'the y'],
['  pin', 'ice o', 'toast', 'sock ', ' key '],
[' sad ', 'split', 'later', 'ice y', 'per  '],
['apt c', 'w ago', 'elbow', ' ill ', 'weed '],
[' see ', ' pay ', 'tiger', 'ice u', 'per b'],
['its s', ' rise', 'below', 'yell ', 'e you'],
['  she', ' coin', 'false', 'era m', 'e ray'],
['pig o', 'o raw', 'place', ' ant ', 'add  '],
['scent', 'euro ', 'tease', '  sea', 'one t'],
['pop p', 'our a', 'sting', 'e due', ' let '],
['owl  ', 'photo', 'towel', '  end', 'our  '],
['cue d', 'aside', 'begin', '  hey', 'hot  '],
[' sad ', ' iron', 'prize', 'a sew', 'then '],
// --- Updated 28th Oct 2022 ---
['f leg', 'owe o', 'rival', ' send', 'melt '],
[' jam ', ' edit', 'stone', 'e pea', 'eat  '],
['a rap', 'use a', 'toast', 'once ', '  her'],
['p sad', 'art a', 'dirty', ' die ', '  pat'],
[' wash', ' era ', 'stick', 'a ski', 'die d'],
['yes s', 'e two', 'train', ' its ', ' bee '],
['  him', 'boot ', 'abuse', 'yes a', ' year'],
[' paw ', 'bare ', 'unity', 'yes e', ' left'],
['fee  ', 'a ant', 'tiger', ' clay', ' yet '],
['  hat', 'awe a', 'relax', 'tall ', ' roll'],
[' soup', 'cup e', 'agent', 'rare ', ' rat '],
['  pop', 'trip ', 'ruler', 'alone', 'pet d'],
['l sky', 'alone', 'pilot', ' fat ', 'per  '],
['rug g', 'e ray', 'alarm', 'ripe ', ' pea '],
['  can', '  ago', 'screw', 'ear  ', 'try  '],
['pea y', 'u she', 'basis', ' get ', 'set  '],
[' rap ', ' edit', 'laugh', 'ill i', 'd ten'],
['  say', ' pace', 'pants', 'aid  ', 'dry  '],
['p art', 'owl h', 'title', ' lean', ' dry '],
[' fit ', 'bid  ', 'aside', 'choir', 'k tea'],
[' owl ', 'sure ', 'trial', 'o ski', 'pot p'],
['hold ', ' pea ', 'start', 'h ski', 'eat n'],
['  bat', 'r lie', 'opera', 'win s', ' edge'],
['  icy', 'hide ', 'ocean', 'tease', '  let'],
['  sit', 'bet o', 'erase', 'game ', '  pay'],
['  rib', 'sea i', 'exist', 'wash ', ' meet'],
['  pat', 'i lie', 'charm', 'eat p', ' test'],
['per  ', ' rub ', 'based', 'u tea', 'gay y'],
['the  ', 'ready', 'argue', 'd let', 'eye  '],
[' town', '  who', 'renew', 'area ', 'part '],
[' pet ', 'beard', 'anger', 't lay', ' wet '],
['  two', '  rap', 'blast', 'each ', 'eye  '],
['ban  ', 'age h', 'large', 'liver', ' net '],
[' can ', ' awe ', 'grave', 'e key', 'there'],
['pace ', 'owl f', 'tease', '  see', '  sad'],
['s let', 'era i', 'tutor', ' gene', '  red'],
['pot  ', 'air t', 'slice', 's ban', ' wet '],
['  war', ' bow ', 'bored', 'its u', 'there'],
['also ', 'rip g', 'tease', '  cat', ' bed '],
[' ham ', '  lad', 'ratio', 'agent', 'per  '],
['bet  ', 'earn ', 'drain', '  ice', '  let'],
['  try', ' pea ', 'pants', 'untie', 'b hot'],
['asset', 'wet h', 'erase', ' via ', ' end '],
[' beg ', 'per  ', 'again', 'disco', ' need'],
['o his', 'what ', 'label', ' time', 'yet t'],
['  she', 'g tea', 'apart', 'man  ', 'end  '],
[' sack', ' iron', 'pride', 'u see', 'bye  '],
[' pea ', 'first', 'lease', 'u sea', ' set '],
['lap  ', 'ice  ', 'prawn', ' echo', '  hot'],
['  sad', 'pot u', 'erase', 'take ', ' let '],
['bag  ', 'agree', 'ready', '  die', ' pet '],
['  tap', ' cage', 'laser', 'art  ', 'beer '],
['  who', 'm rip', 'arise', 'pat n', ' pea '],
['base ', 'act  ', 'ghost', ' echo', '  key'],
['his  ', 'act m', 'lease', 'l run', '  end'],
['not  ', 'our y', 'drama', ' scar', '  end'],
['apt o', 'rural', 'trend', ' say ', 'set  '],
['  top', 's awe', 'upset', 'nut  ', ' bee '],
[' apt ', 'train', 'agree', 'nut t', ' eye '],
['  lad', 'lie o', 'adapt', 'mere ', 'bang '],
['  opt', 'tape ', 'agent', 'nor h', '  age'],
[' say ', ' owe ', 'flash', 'oak o', 'great'],
['  set', 'dip o', 'erase', 'core ', 'knee '],
['all  ', 'pie  ', 'tease', '  sky', '  tie'],
['  bad', '  lie', 'share', 'kid p', 'item '],
[' may ', 'rise ', 'unite', 'bed a', ' rent'],
['pale ', ' war ', 'fatal', 'eye a', 'e rob'],
['  peg', '  lay', 'alarm', 'sit  ', 'keep '],
['apt  ', 'lie n', 'lease', 'y sew', ' wet '],
['new  ', 'erase', 'tasty', '  tie', ' her '],
['rent ', ' cow ', 'throw', 'hot a', 'e her'],
[' pad ', 'begin', 'erase', 'e ice', '  nod'],
[' run ', 'cup  ', 'asset', 'there', '  tan'],
['  man', 'age u', 'boast', 'lane ', 'else '],
[' lap ', '  say', 'spite', 'aid s', 'deep '],
[' pad ', 'far b', 'unite', 'r see', '  ear'],
['the  ', 'wear ', 'organ', '  lie', ' belt'],
['n cat', 'upon ', 'tough', ' tree', '  try'],
['k use', 'else ', 'yours', ' wave', '  let'],
['h sew', 'act e', 'toast', ' lie ', ' drag'],
['flu m', 'u pea', 'reply', ' yes ', 'mere '],
['  pan', 'bee o', 'adapt', 'rice ', ' tea '],
[' its ', ' loan', 'flame', 'a set', 'nut  '],
['b car', 'ago a', 'delay', ' nod ', ' end '],
['  sin', 'well ', 'exile', 'bid a', ' text'],
[' ham ', ' away', 'grade', 'ask t', 'she  '],
['big e', 'unity', 'stare', ' one ', '  tea'],
['lap  ', 'oil  ', 'trade', '  tin', ' weed'],
[' far ', ' edit', 'cease', 'a pen', 'nut d'],
['off  ', 'park ', 'trend', '  sea', '  hey'],
[' old ', 'swear', 'plate', 'i sad', 'nut  '],
['  lid', ' get ', 'flash', 'our o', 'renew'],
['horn ', ' bee ', 'tenth', 'eye o', 'a wet'],
[' bow ', 'h cap', 'opera', 'tea t', ' ant '],
['top f', ' pull', 'repay', 'unit ', 'n leg'],
[' fare', '  guy', 'large', 'owe  ', 'weed '],
[' mate', 'j leg', 'along', 'win  ', ' pen '],
['  bad', 'b lie', 'opera', 'see f', 'sad  '],
['bag  ', 'owl  ', 'weave', '  sin', '  sad'],
['lad  ', ' seal', 'bible', 'adult', 'net  '],
['  sum', 'apt o', 'glass', 'ought', ' see '],
['ask  ', 'pin h', 'tribe', '  fur', '  eye'],
['owl  ', 'photo', 'towel', ' lend', 'per  '],
['yes  ', ' awe ', 'steal', 'o era', 'not d'],
[' mass', 'bow e', 'erase', 'take ', ' let '],
['sad  ', 'e rip', 'aware', 'lemon', ' tan '],
['  she', 'but v', 'aside', 'recur', '  key'],
['  tan', ' true', 'giant', 'edit ', 'ten  '],
['gas  ', 'a toy', 'plane', ' area', 'bye h'],
['row  ', ' noun', 'verse', 'i sew', 'apt  '],
['doll ', 'owe  ', 'glass', '  via', '  end'],
[' mate', 'tin a', 'anger', 'peer ', '  lap'],
[' rat ', 'dish ', 'upset', 'e era', '  ten'],
['gap o', 'a rap', 'skirt', ' ice ', ' tea '],
['back ', 'owl s', 'weigh', '  cue', ' sky '],
['part ', 'await', 'weigh', '  she', ' set '],
['  sit', 'patch', 'agree', 'tea m', '  pie'],
['b sob', 'apt u', 'toast', ' pie ', '  rat'],
[' hut ', 'pen y', 'arise', 'y tea', '  ear'],
[' pace', '  way', 'scare', 'hard ', 'end  '],
['boss ', 'apple', 'delay', ' ripe', 'fat  '],
[' race', '  way', 'stare', 'ear  ', 'and  '],
['  sob', '  cue', 'state', 'air r', 'deep '],
['h aim', 'egg e', 'rural', ' tent', ' set '],
['hot  ', 'i raw', 'thigh', ' obey', 'awe  '],
[' apt ', 'all  ', 'coast', 'tutor', ' deny'],
[' map ', ' edit', 'laugh', 'ill i', 'd tan'],
[' solo', 'map u', 'alert', 'dare ', ' dad '],
['m lot', 'awe h', 'phase', ' even', ' new '],
[' pat ', 'l who', 'again', 'nurse', 'eye  '],
['  owl', 'more ', 'anger', 'stake', 'son d'],
[' let ', 'jar  ', 'adapt', 'm see', ' mean'],
['tall ', 'again', 'nerve', '  get', ' her '],
[' buy ', 'cup  ', 'asset', 'there', '  tan'],
['ban e', ' wood', 'being', 'i see', 'day  '],
['  bus', 'ill i', 'toast', 'same ', ' net '],
[' two ', ' wind', 'rider', 'ice y', 'deny '],
['  sea', 'e tan', 'apart', 'tail ', ' try '],
['act t', 'nurse', 'drain', ' lid ', '  net'],
['  two', 'tie w', 'erase', 'nose ', ' next'],
['lot  ', 'awe  ', 'dense', '  sea', ' peer'],
['tap  ', 'ice  ', 'prawn', ' echo', '  how'],
['act p', 'purse', 'train', ' lid ', '  leg'],
['  off', 'e lie', 'alive', 'save ', 'eye  '],
['leg  ', 'ear r', 'state', 's sea', '  sad'],
[' tap ', 'fine ', 'angel', 'm era', 'ear p'],
['rib  ', 'acre ', 'weave', '  via', ' melt'],
['yet  ', 'earn ', 'stain', '  ice', '  let'],
['  pad', ' fair', 'windy', 'art  ', 'rest '],
['t sky', 'alone', 'pilot', ' kit ', 'bed  '],
['rap v', ' rise', 'steer', 'i cab', 'the  '],
['air y', 'i awe', 'medal', ' girl', ' god '],
[' bee ', 'h nut', 'opera', 'lemon', 'dry  '],
['pot  ', ' wet ', 'heart', 'u sea', 'green'],
['  ski', ' heel', 'novel', 'open ', 'ten  '],
['  tea', 'p raw', 'abuse', 'sale ', 'try  '],
[' paw ', 'his h', 'olive', 'today', ' ten '],
[' rent', 'bar h', 'awake', 't sin', ' pet '],
[' hand', 'g sea', 'unity', 'nod  ', ' tea '],
['  dip', ' site', 'purse', 'act r', 'why  '],
['  dad', 'fail ', 'again', 'nerve', '  yet'],
[' off ', 's low', 'opera', 'fee r', 'ant  '],
[' coal', '  who', 'renew', 'area ', 'yard '],
['ice  ', 'tax  ', 'stiff', ' clue', ' here'],
[' apt ', ' chip', 'store', 'u ten', 'mood '],
['ear i', 'a all', 'total', ' pit ', ' toe '],
['n she', 'echo ', 'whale', ' ever', 'awe a'],
['  run', ' his ', 'level', 'eye a', 't red'],
['d sob', 'arm a', 'toast', 'able ', '  let'],
['  age', 'essay', 'noise', 'dad  ', ' per '],
['  paw', 'c age', 'idiot', 'tin  ', 'yet  '],
['age  ', 'serve', 'stain', 'e sad', 'toe  '],
['  aid', 'owl i', 'whose', 'none ', '  get'],
[' bus ', 'canal', 'aside', 'bit t', ' sew '],
['  wet', ' tour', 'carry', 'also ', 'bee  '],
['beg  ', ' art ', 'prawn', 'e die', 'agent'],
[' bar ', 'a win', 'grade', 'ear c', ' weak'],
[' ask ', 'hip  ', 'arise', 't tin', ' tend'],
['g eat', 'ring ', 'actor', 'bee a', '  rip'],
['  fur', ' page', 'could', 'ally ', 'bet  '],
[' lost', 'fact ', 'ideal', 'x ago', '  new'],
['all h', 'cease', 'tasty', ' sea ', ' try '],
['e wet', 'alive', 'rider', ' form', 'new  '],
[' ant ', ' road', 'smile', 'k sea', 'icy r'],
['bath ', 'e war', 'tribe', ' acid', ' yet '],
['  nod', 'ago i', 'write', 'ease ', ' menu'],
['opt l', ' rise', 'right', 'ache ', 'yet  '],
['  son', 'm two', 'event', 'lie  ', 'tap  '],
['ant  ', 'cow b', 'tribe', '  cut', ' pet '],
[' spy ', 'owl s', 'death', 'decay', ' ten '],
['far f', ' cure', 'arrow', 'real ', 't let'],
['  sad', 'bet u', 'erase', 'game ', '  pet'],
['all f', 'cease', 'taste', ' sea ', ' try '],
['t boy', 'earn ', 'sweep', 'tea a', '  dry'],
['  bat', 'stage', 'order', 'bag m', ' pen '],
[' lift', '  now', 'mango', 'age  ', 'nor  '],
['owl  ', ' ham ', 'total', 'o eye', 'ear g'],
['  sob', '  two', 'stand', 'ear y', 'apt  '],
[' fur ', ' one ', 'tribe', 'r ten', 'yield'],
['off  ', 'pork ', 'trend', '  sea', '  hey'],
['odd  ', 'pie t', 'tense', '  sex', '  eat'],
[' hope', 'r pea', 'agent', 'warn ', ' pay '],
['one  ', 'u art', 'tiger', ' clay', 'feel '],
['lip  ', 'acre ', 'beach', '  who', '  not'],
[' ant ', 'proof', 'error', 'not y', ' why '],
[' ham ', '  web', 'tease', 'arise', 'pat  '],
[' lap ', '  pan', 'trade', 'ear w', 'apt  '],
['  spy', 'game ', 'award', 'yes o', '  hat'],
['  pat', ' page', 'laser', 'act m', 'pea  '],
['not t', ' file', 'often', 'n lad', 'even '],
['ago  ', 'nurse', 'tiger', ' data', 'pen  '],
[' ray ', 'cow b', 'awake', 'n rid', ' let '],
['  toy', 'b awe', 'asset', 'rat  ', 'eye  '],
['  rap', 'j age', 'after', 'main ', ' not '],
[' hat ', 'rule ', 'among', 'tan o', ' need'],
[' lack', 'wash ', 'idiot', 'n die', '  era'],
['yes  ', 'eat  ', 'trail', ' nice', '  net'],
['ban a', 'e owl', 'devil', ' red ', 'pale '],
[' easy', '  lie', 'plant', 'ear  ', 'gym  '],
['web  ', 'ear  ', 'steal', 't age', '  dot'],
[' dare', '  may', 'alone', 'wing ', 'edge '],
['cue w', 'u lie', 'table', ' gold', 'low  '],
['art t', 'purse', 'train', ' air ', 'ill  '],
[' pad ', 'begin', 'erase', 'g ice', '  nod'],
['  sad', '  tie', 'trade', 'oak p', 'owe  '],
['raw  ', 'awe j', 'raise', 'eight', ' the '],
['  bad', ' bar ', 'pasta', 'eye n', 'a day'],
[' mass', 't lie', 'write', 'oak  ', ' pen '],
[' old ', ' weak', 'tease', 'o shy', 'pie  '],
['b paw', 'arise', 'guest', ' ice ', ' net '],
[' red ', 'pea h', 'angle', 'delay', ' web '],
[' fat ', 'bow j', 'erase', 'g kit', ' sex '],
['rip w', 'alike', 'plane', '  nod', ' how '],
['  lie', 'owe v', 'whale', 'liver', ' pet '],
[' apt ', 'brain', 'agree', 'nut w', 'key  '],
['  ill', 'hide ', 'ocean', 'tease', '  let'],
['paw  ', 'owe b', 'raise', 'tight', ' the '],
[' grow', 'r owe', 'adult', 'pit  ', ' pet '],
[' bay ', 'son j', 'eagle', 'treat', ' dry '],
['  gay', ' tune', 'faint', 'undo ', 'n eye'],
['  see', '  pay', 'score', 'our  ', 'net  '],
[' age ', '  rat', 'aware', 'cap s', 'treat'],
['  the', '  hey', 'aside', 'gang ', 'edge '],
['  top', ' tin ', 'later', 'all i', 'blend'],
[' act ', '  hit', 'plane', 'ear x', 'admit'],
[' she ', 'too  ', 'water', 'opera', '  law'],
[' but ', 'pin  ', 'unity', 't owe', '  not'],
['opt h', 'white', 'eager', ' sea ', 'per  '],
['apt  ', 'nor u', 'dress', ' knee', '  dad'],
[' ham ', '  gas', 'tease', 'arise', 'pan  '],
['  for', ' fine', 'label', 'ice y', 'per  '],
['act  ', 'raw y', 'tribe', '  cut', ' yes '],
['ice  ', 'tax f', 'still', ' clay', 'they '],
['  bow', '  owe', 'plane', 'ear k', 'add  '],
[' jaw ', 'w lie', 'along', 'van g', 'eye  '],
['bar s', 'u ask', 'today', ' win ', ' nod '],
[' gap ', 't lip', 'write', 'oak g', ' yet '],
['pet  ', 'i apt', 'elbow', ' also', ' bee '],
['i bus', 'car a', 'yield', ' mail', '  key'],
['  rob', ' lip ', 'cover', 'aware', 'r lad'],
['dot n', ' nose', 'media', 'a ant', 'day  '],
[' toy ', 'throw', 'argue', 'pea b', ' end '],
['hip  ', ' tap ', 'essay', 'r tie', 'alert'],
[' shy ', 'too  ', 'water', 'opera', '  lap'],
[' post', ' ache', 'clean', 'read ', 'y net'],
[' pay ', 'pan f', 'angel', 'delay', ' let '],
[' owe ', ' nor ', 'strap', 'horse', 'e yet'],
['  pig', ' pale', 'fault', 'its  ', 'the  '],
['  top', 'r awe', 'upset', 'sit  ', 'hey  '],
['  apt', 's war', 'tease', 'arise', 'rat  '],
['bad  ', ' seal', 'bible', 'adult', 'get  '],
['a toy', 'white', 'eight', ' she ', '  try'],
[' stem', ' hole', 'tease', 'o set', 'out  '],
[' stab', ' tape', 'waste', 'hit  ', 'one  '],
[' fur ', 'tune ', 'aside', 'pet a', '  yet'],
